adj	arvi	-	adjektiiv, omadussõna
adv	arvi	-	adverb, määrsõna
as	arvi	-	abstraktne substantiiv
indekl	arvi	-	käändumatu
indekl adj	arvi	-	käändumatu omadussõna
indekl pron	arvi	-	käändumatu asesõna
interj	arvi	-	interjektsioon, hüüdsõna
konj	arvi	-	konjunktsioon, sidesõna
num	arvi	-	numeraal, arvsõna
postp	arvi	-	postpositsioon, tagasõna
prep	arvi	-	prepositsioon, eessõna
pron	arvi	-	pronoomen, asesõna
s	arvi	-	substantiiv, nimisõna
v	arvi	-	verb, tegusõna
adjg	arvi	-	genitiivatribuut, omastavaline täiend
